,i_i_glide_lignum,r_i_docking_score,SMILES
165,10666,-10.545,CNC(=O)CNC(=O)c1cccc(N[C@H]2CCN(c3ccc(Cl)c(F)c3)C2=O)c1
166,17722,-10.5383,O=C(NCc1ccccc1CS(=O)(=O)N1CCOCC1)N1CCC[C@@H]1c1ccc(F)cc1
167,12837,-10.5335,O=C(c1cnc2[nH]c(=O)[nH]c(=O)c2c1)N1Cc2ccccc2[C@@H](c2ccccc2)C1
168,12652,-10.5329,Cc1ccnc2ccc(C(=O)N3Cc4ccccc4C[C@@H]3C(N)=O)cc12
169,6055,-10.5327,C[C@@H](C[C@@H]1CCOC1)NC(=O)NCc1ccc(COCC(F)(F)F)cc1
170,2876,-10.525,CC(C)(C)[C@@H](N)C(=O)NCc1cccc(Cn2cnc3ccccc32)c1
171,17961,-10.5244,COc1ccc(-c2ccccc2C)c(C(=O)N2C[C@H](CC(N)=O)[C@@H](O)C2)c1
172,10368,-10.5242,O=C([C@H]1C[C@@H]1c1ccc2ccccc2c1)N1CCn2c(nnc2C2CCCC2)C1
173,6061,-10.5193,O=C([C@H](O)[C@@H](O)c1nc2ccccc2[nH]1)N1CCN(c2ncccn2)CC1
174,8968,-10.5156,O=C(c1ccccc1OC(F)F)N1CCN(C(=O)[C@H](O)c2ccccc2Cl)CC1
175,4501,-10.5142,O=C(c1ccc(-n2cnnc2)cc1)N1CCC([C@H](O)c2ccccc2)CC1
176,12757,-10.4993,Cc1ccc(C2(CNc3nc(=O)c4cn[nH]c4[nH]3)CCCC2)c(C)c1
177,16944,-10.4974,COc1nn(C)cc1CNC(=O)N[C@@H](C)c1cccc2ccccc12
178,10721,-10.4968,O=C(NCc1ccc(Oc2cccnc2)c(F)c1)NC[C@@H](O)c1ccc(F)cc1
179,11319,-10.4951,CC(C)C(=O)Nc1cccc(NC(=O)c2cccc(-c3ncn[nH]3)c2)c1
180,1838,-10.491,COc1cccc(C[C@@]2(C(=O)N[C@@H]3CCCC[C@H]3O)C[C@@H]3CC[C@H]2C3)c1
181,16574,-10.4869,O=C(N[C@H]1C[C@H](Cn2ccnc2)C[C@H]1O)c1c[nH]nc1-c1ccc(Cl)cc1
182,17939,-10.4867,Cc1ccc(S(=O)(=O)CCCN2C(=O)N[C@](C)(c3ccc(F)cc3F)C2=O)cc1
183,14934,-10.4845,Cc1cc(C(=O)N2Cc3ccccc3C[C@@H]2C(N)=O)cc(O)n1
184,19450,-10.4829,O=C(c1ccc2c(c1)CCCC2)N1CCCC[C@@H]1c1nc(=O)[nH][nH]1
185,16253,-10.4829,Cc1cc(CNC(=O)N2CCN(c3ccc(F)cc3Cl)CC2)[nH]n1
186,16226,-10.4806,N#Cc1cccc(-n2ccc(-c3nc(-c4n[nH]c5ccccc45)no3)n2)c1
187,4313,-10.4796,Cc1c(NC(=O)N[C@H](CCO)c2cccs2)nnn1Cc1ccccc1F
188,17057,-10.4756,Cc1ccc(-c2nn(Cc3ccccc3)cc2C(=O)N2CCC[C@](C)(CO)C2)cc1
189,83,-10.4735,O=C(Nc1cc(C2CC2)nn1-c1ccccc1)N[C@H](Cn1ccccc1=O)c1ccccc1
190,14230,-10.4725,O=C(NCc1cnc2n1CCCC2)[C@H]1CCCN1C(=O)c1ccc(Br)cc1
191,11063,-10.4615,CC(=O)N[C@H](Cc1c[nH]c2cc(F)ccc12)C(=O)Nc1cc(CC(C)(C)C)n[nH]1
192,18158,-10.461,N#Cc1cc(Cl)ccc1N1CCC(C(=O)NCCc2ccccc2F)CC1
193,6074,-10.4602,CCc1nnc([C@@H]2C[C@H](O)CN2C(=O)c2cc3ccc(C)cc3nc2C)o1
194,5252,-10.4565,CCC[C@@H](NC(=O)c1cnc2snc(C)c2c1)C(=O)Nc1cccc(N2CCCC2)c1
